ID,Depth.mean,d13C.carb,d18O.carb,d13C.carb.sd,d18O.carb.sd
GSL1B-031,34,2.67,-4.96,0.07,0.07
GSL1B-032,39,1.06,-5.62,0.04,0.06
GSL1B-033,44,3.33,-4.26,0.06,0.03
GSL1B-034,49,3.41,-4.28,0.06,0.11
GSL1B-035,54,2.68,-4.78,0.10,0.11
GSL1B-036,59,2.53,-4.45,0.09,0.11
GSL1B-037,64,1.7431,-5.4308,0.0351,0.0773
GSL1B-038,69,1.1990,-6.0797,0.0675,0.0875
GSL1B-039,74,2.36,-5.08,0.11,0.04
GSL1B-040,79,1.23,-5.69,0.06,0.07
GSL1B-041,84,2.10,-4.78,0.05,0.07
GSL1B-042,89,1.74,-5.90,0.05,0.07
GSL1B-043,94,2.53,-5.40,0.13,0.06
GSL1B-044,99,1.89,-5.84,0.06,0.09
GSL1B-045,104,2.64,-5.16,0.08,0.04
GSL1B-046,109,1.80,-5.90,0.07,0.07
GSL1B-047,114,1.44,-4.87,0.06,0.05
GSL1B-048,119,0.95,-6.19,0.14,0.06
GSL1B-049,124,1.24,-5.33,0.05,0.08
GSL1B-050,127.5,1.52,-5.21,0.07,0.11
GSL1B-051,134,2.31,-5.67,0.15,0.05
GSL1B-052,139,1.91,-6.05,0.03,0.07
GSL1B-053,144,2.06,-5.15,0.10,0.02
GSL1B-054,148,1.90,-5.35,0.08,0.06
GSL1B-055,152,1.0710,-5.9802,0.0290,0.0803
GSL1B-056,157,1.2843,-5.2173,0.0639,0.1352
GSL1B-057,160,1.3446,-5.6910,0.0851,0.1077
GSL1B-058,166,1.6561,-4.6424,0.0477,0.0400
GSL1B-060,172,0.8834,-5.8816,0.0462,0.1101
GSL1B-061,177,0.9727,-5.0885,0.0354,0.0569
GSL1B-063,187,1.38,-5.19,0.04,0.12
GSL1B-064,192,1.2845,-5.3601,0.0562,0.1295
GSL1B-065,197,1.3659,-4.4855,0.0281,0.1129
GSL1B-066,203,1.6347,-4.9810,0.0380,0.0285
GSL1B-067,228.5,1.20,-5.76,0.19,0.08
GSL1B-068,232.5,1.87,-5.12,0.10,0.11
GSL1B-069,237.5,1.26,-5.70,0.07,0.03
GSL1B-070,243.5,1.18,-5.02,0.03,0.04
GSL1B-071,247.5,1.49,-5.69,0.15,0.04
GSL1B-072,253.5,0.5385,-5.3611,0.0845,0.0339
GSL1B-073,258.5,1.63,-5.84,0.08,0.04
GSL1B-074,263.5,0.76,-5.71,0.08,0.05
GSL1B-075,268.5,1.44,-5.43,0.10,0.09
GSL1B-076,273.5,1.5589,-4.9405,0.0473,0.0786
GSL1B-077,279,1.2965,-5.0258,0.0272,0.0784
GSL1B-078,285,0.8320,-5.6635,0.0532,0.0498
GSL1B-079,287.5,0.1194,-4.5737,0.0637,0.0583
GSL1B-080,294,0.5744,-6.0112,0.0776,0.1295
GSL1B-081,297.5,0.10,-5.83,0.18,0.06
GSL1B-082,303.5,-0.11,-4.56,0.05,0.09
GSL1B-083,307.5,0.28,-5.80,0.13,0.05
GSL1B-084,311.5,-1.10,-7.55,0.29,0.09
GSL1B-085,314,1.07,-5.50,0.12,0.09
GSL1B-086,319.5,1.36,-6.28,0.14,0.05
GSL1B-087,323.5,0.81,-5.15,0.06,0.11
GSL1B-088,329.5,0.9675,-4.7874,0.0631,0.0312
GSL1B-089,332.8,0.95,-5.73,0.16,0.06
GSL1B-090,337,0.84,-4.99,0.17,0.04
GSL1B-091,339.5,0.79,-5.64,0.24,0.05
GSL1B-093,349.5,0.28,-4.80,0.05,0.06
GSL1B-094,353.5,0.43,-6.40,0.11,0.06
GSL1B-095,358.5,0.98,-5.87,0.19,0.09
GSL1B-096,362.5,0.30,-5.31,0.16,0.09
GSL1B-097,368,0.0866,-6.4036,0.1056,0.0812
GSL1B-098,374,-0.2128,-5.7642,0.0643,0.0972
GSL1B-099,379,-0.4169,-4.7490,0.0437,0.1579
GSL1B-100,384,-0.6999,-4.6048,0.1068,0.0995
GSL1B-101,389,0.3879,-5.2071,0.0322,0.0728
GSL1B-102,394,0.6850,-5.4272,0.2249,0.1170
GSL1B-103,399,2.25,-1.53,0.06,0.05
GSL1B-104,404,0.6791,-5.9210,0.0417,0.0652
GSL1B-105,409,-0.0962,-6.2325,0.0662,0.0494
GSL1B-106,414,0.1968,-5.8464,0.0606,0.0630
GSL1B-107,419,0.64,-5.40,0.06,0.06
GSL1B-108,422.5,1.5269,-5.3604,0.0790,0.0837
GSL1B-109,423.2,-2.3506,-7.5264,0.0842,0.2383
GSL1B-110,430,0.85,-5.48,0.09,0.07
GSL1B-111,434,1.18,-4.75,0.12,0.09
GSL1B-112,439,-0.34,-5.66,0.05,0.10
GSL1B-113,444,-1.07,-5.56,0.14,0.12
GSL1B-114,445,0.94,-5.96,0.19,0.22
GSL1B-115,449,-1.4841,-6.1400,0.0929,0.1631
GSL1B-116,454,-0.6027,-5.8333,0.0442,0.0929
GSL1B-118,465,-0.99,-4.61,0.05,0.08
GSL1B-119,469,-0.75,-5.65,0.07,0.10
GSL1B-120,474,-0.3770,-4.6261,0.0610,0.0503
GSL1B-121,479,-3.1472,-4.3374,0.0538,0.0180
GSL1B-122,484,-1.8255,-4.1955,0.0498,0.0588
GSL1B-123,489,-1.88,-3.26,0.20,0.04
GSL1B-124,494,-1.33,-4.81,0.15,0.07
GSL1B-125,499,-2.47,-3.55,0.05,0.04
GSL1B-126,504,-0.9171,-3.1137,0.0587,0.0191
GSL1B-127,518.5,-0.67,-5.20,0.06,0.05
GSL1B-130,533.5,-0.6252,-6.669425745,0.049777003,0.049119361
GSL1B-131,538.5,0.015833333,-5.247430575,0.065444633,0.075991513
GSL1B-132,543.5,0.122244444,-6.105037817,0.069572105,0.060749584
GSL1B-133,548.5,0.086055556,-5.064897102,0.052129913,0.082030043
GSL1B-134,553.5,0.614355556,-6.836491,0.049097126,0.058008856
GSL1B-135,558.5,0.217688889,-6.378426548,0.052873539,0.056744275
GSL1B-136,563.5,0.875577778,-4.955850813,0.03854795,0.036728055
GSL1B-137,568.5,-0.098866667,-7.022054926,0.064019528,0.075422503
GSL1B-138,573.5,0.620133333,-6.625842981,0.056883653,0.059470138
GSL1B-139,578.5,0.245688889,-6.079700116,0.057611727,0.026856997
GSL1B-140,583.5,1.671055556,-5.752608496,0.080414724,0.071647616
GSL1B-141,588.5,0.970133333,-3.225921035,0.140456399,0.029986612
GSL1B-142,593.5,-0.302866667,-7.211665286,0.095240485,0.046951771
GSL1B-143,598.5,0.074133333,-7.528374088,0.048548944,0.037277425
GSL1B-144,603.5,-0.6645,-7.250806206,0.106320271,0.052295372
GSL1B-145,608.5,-1.64,-8.89,0.05,0.04
GSL1B-146,613.5,-1.07,-7.38,0.05,0.05
GSL1B-147,618.5,-0.99,-6.62,0.06,0.06
GSL1B-148,623.5,-0.14,-5.92,0.10,0.11
GSL1B-149,628.5,-0.24,-6.45,0.07,0.08
GSL1B-150,633.5,1.78,-4.67,0.14,0.32
GSL1B-151,638.5,-0.70,-7.06,0.06,0.07
GSL1B-152,643.5,0.19,-6.94,0.06,0.03
GSL1B-153,648.5,1.71,-5.92,0.05,0.05
GSL1B-154,653.5,0.85,-6.71,0.08,0.03
GSL1B-155,658.5,1.04,-6.45,0.05,0.06
GSL1B-156,663.5,0.504611111,-5.99037757,0.040851697,0.061749108
GSL1B-157,669,1.25,-6.42,0.06,0.05
GSL1B-158,674,-0.26,-6.56,0.15,0.25
GSL1B-159,679,1.10,-5.62,0.06,0.11
GSL1B-160,684,-0.04,-6.64,0.24,0.35
GSL1B-161,689,-0.84,-7.84,0.05,0.06
GSL1B-162,694,0.96,-5.09,0.13,0.16
GSL1B-163,699,-0.74,-5.26,0.08,0.04
GSL1B-164,704,-0.54,-6.35,0.04,0.05
GSL1B-165,709,0.56,-6.48,0.05,0.04
GSL1B-166,714,0.42,-5.44,0.08,0.07
GSL1B-167,718,0.62,-5.95,0.12,0.10
GSL1B-168,724,0.30,-5.34,0.11,0.16
GSL1B-169,729,0.22,-5.47,0.07,0.03
GSL1B-170,734,-0.64,-5.97,0.05,0.16
GSL1B-171,739,1.26,-4.87,0.11,0.14
GSL1B-174,754,-2.26,-8.02,0.08,0.06
GSL1B-175,759,0.03,-6.74,0.03,0.05
GSL1B-176,764,0.56,-4.98,0.10,0.20
GSL1B-177,769,0.80,-4.72,0.15,0.15
GSL1B-178,774,-0.39,-6.05,0.09,0.11
GSL1B-179,779.5,1.07,-5.11,0.19,0.17
GSL1B-180,784,-0.01,-6.09,0.08,0.11
GSL1B-181,789,0.66,-5.77,0.12,0.10
GSL1B-182,794,0.11,-5.90,0.07,0.07
GSL1B-183,799,0.54,-5.47,0.12,0.14
GSL1B-184,802,0.04,-6.10,0.12,0.10
GSL1B-185,823.5,-0.38,-5.51,0.06,0.41
GSL1B-186,828.5,-1.34,-5.42,0.07,0.16
GSL1B-187,833.5,0.96,-4.18,0.11,0.17
GSL1B-188,838.5,-0.4924,-4.8385,0.0719,0.0693
GSL1B-189,843.5,0.96,-4.69,0.19,0.30
GSL1B-190,848.5,-0.14,-6.08,0.12,0.09
GSL1B-191,853.5,-1.07,-6.44,0.09,0.20
GSL1B-192,858.5,0.2345,-5.6221,0.0735,0.0543
GSL1B-193,863.5,-0.7423,-6.3060,0.0462,0.1093
GSL1B-194,868.5,-1.1350,-5.3791,0.0385,0.0880
GSL1B-195,873,0.0580,-5.2280,0.0549,0.0840
GSL1B-196,878.5,-0.5445,-5.9568,0.0492,0.0359
GSL1B-197,883.5,-0.0632,-5.3335,0.0509,0.0329
GSL1B-198,888.5,-0.4171,-5.5870,0.0372,0.0337
GSL1B-200,898.5,-1.1977,-4.3538,0.0583,0.0554
GSL1B-201,903.5,0.5653,-5.0177,0.0654,0.0885
GSL1B-202,909,0.1730,-4.7051,0.0445,0.0512
GSL1B-203,912.5,0.3808,-4.3174,0.0631,0.0875
GSL1B-204,918.5,-1.0834,-4.5941,0.0439,0.0459
GSL1B-205,923.5,-0.3526,-5.5558,0.0549,0.0202
GSL1B-206,930,-2.5541,-4.0748,0.0356,0.1203
GSL1B-207,932.5,-1.1272,-4.7492,0.0761,0.0387
GSL1B-208,938.5,-1.6309,-4.8652,0.0596,0.0967
GSL1B-209,943.5,-0.8489,-4.4544,0.0673,0.0487
GSL1B-210,948.5,-0.5983,-5.1515,0.0798,0.0383
GSL1B-211,953,-0.6168,-5.3426,0.0349,0.0469
GSL1B-212,958.5,-0.9767,-4.0242,0.0305,0.0287
GSL1B-213,963,0.0954,-4.7574,0.0759,0.0314
GSL1B-214,967,0.3359,-5.1201,0.0998,0.0959
GSL1B-215,972,0.3877,-5.0275,0.0406,0.0610
GSL1B-216,977,-0.2808,-5.2856,0.0554,0.0509
GSL1B-217,982,-0.2663,-5.3253,0.0665,0.0510
GSL1B-218,987,0.2960,-5.2933,0.0501,0.1517
GSL1B-219,992,-0.3912,-5.4856,0.1936,0.0847
GSL1B-222,1007.5,-0.7004,-5.6223,0.0470,0.0501
GSL1B-223,1013,-0.3750,-5.3695,0.0630,0.0544
GSL1B-229,1042,-1.1070,-6.0320,0.0394,0.0788
GSL1B-235,1072,0.52,-4.54,0.07,0.02
GSL1B-236,1077,0.57,-4.58,0.09,0.03
GSL1B-237,1082,-0.76,-4.37,0.08,0.02
GSL1B-238,1087,0.12,-5.03,0.14,0.10
GSL1B-239,1092,-0.2786,-4.7264,0.0448,0.0497
GSL1B-240,1097,-1.3466,-4.8653,0.0850,0.0470
GSL1B-241,1100.5,-0.5583,-5.5142,0.0894,0.0563
